商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铜                  ,cu1808                        ,14,中辉期货  ,1284,418,同信久恒  ,1403,256,金瑞期货  ,1993,283,
铜                  ,cu1808                        ,15,广发期货  ,1004,409,中原期货  ,1140,20,方正中期  ,1845,56,
铜                  ,cu1808                        ,16,中融汇信  ,925,347,永安期货  ,919,44,中金期货  ,1690,-35,
铜                  ,cu1808                        ,17,东海期货  ,923,423,新湖期货  ,871,3,国贸期货  ,1648,53,
铜                  ,cu1808                        ,18,金瑞期货  ,776,455,华泰期货  ,855,58,广发期货  ,1597,381,
铜                  ,cu1808                        ,19,国海良时  ,747,615,瑞达期货  ,810,86,国投安信  ,1401,48,
铜                  ,cu1808                        ,20,兴业期货  ,742,580,国投安信  ,751,82,华金期货  ,1300,0,
铜                  ,cu1809                        ,1,中信期货  ,2538,3,格林大华  ,11025,6,中信期货  ,4280,137,
铜                  ,cu1809                        ,2,海通期货  ,2085,1018,中信期货  ,3682,201,一德期货  ,3675,507,
铜                  ,cu1809                        ,3,铜冠金源  ,1660,519,国贸期货  ,2279,-23,中粮期货  ,3616,64,
铜                  ,cu1809                        ,4,东证期货  ,1598,156,弘业期货  ,1952,116,宏源期货  ,3064,-27,
铜                  ,cu1809                        ,5,同信久恒  ,1478,577,金瑞期货  ,1488,112,五矿经易  ,2740,211,
铜                  ,cu1809                        ,6,中银国际  ,1464,1048,中信建投  ,1438,759,国富期货  ,2540,1253,
铜                  ,cu1809                        ,7,国富期货  ,1427,1220,方正中期  ,1247,563,同信久恒  ,1405,243,
铜                  ,cu1809                        ,8,鲁证期货  ,1399,334,中钢期货  ,1017,81,兴业期货  ,1379,16,
铜                  ,cu1809                        ,9,方正中期  ,1344,745,道通期货  ,1001,1,中国国际  ,1120,168,
铜                  ,cu1809                        ,10,上海中期  ,1195,84,广发期货  ,928,4,国贸期货  ,966,4,
铜                  ,cu1809                        ,11,中信建投  ,997,976,上海大陆  ,750,0,华泰期货  ,879,123,
铜                  ,cu1809                        ,12,一德期货  ,886,-903,云晨期货  ,717,50,东亚期货  ,817,0,
铜                  ,cu1809                        ,13,中辉期货  ,793,95,中粮期货  ,665,298,国泰君安  ,784,4,
铜                  ,cu1809                        ,14,新湖期货  ,573,348,兴业期货  ,605,292,海通期货  ,738,-10,
铜                  ,cu1809                        ,15,中融汇信  ,543,255,新湖期货  ,467,15,银河期货  ,736,46,
铜                  ,cu1809                        ,16,国投安信  ,512,133,东兴期货  ,409,13,铜冠金源  ,686,26,
铜                  ,cu1809                        ,17,兴证期货  ,475,-205,一德期货  ,375,19,金瑞期货  ,681,89,
铜                  ,cu1809                        ,18,华泰期货  ,466,57,海通期货  ,372,223,建信期货  ,637,60,
铜                  ,cu1809                        ,19,申万期货  ,460,280,迈科期货  ,363,2,光大期货  ,615,-9,
