商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
锌                  ,zn1807                        ,2,中信期货  ,31428,4091,广发期货  ,7456,327,永安期货  ,8771,-959,
锌                  ,zn1807                        ,3,中融汇信  ,19444,2581,永安期货  ,5559,-1053,方正中期  ,5246,453,
锌                  ,zn1807                        ,4,鲁证期货  ,18470,2213,中粮期货  ,4344,-117,五矿经易  ,4833,441,
锌                  ,zn1807                        ,5,国投安信  ,17945,4085,华泰期货  ,4086,7,华泰期货  ,4674,51,
锌                  ,zn1807                        ,6,永安期货  ,12696,4063,一德期货  ,3770,-497,海通期货  ,4324,-948,
锌                  ,zn1807                        ,7,东证期货  ,12582,-2052,海通期货  ,3666,-418,东证期货  ,3976,-30,
锌                  ,zn1807                        ,8,方正中期  ,11370,2874,方正中期  ,3457,827,申万期货  ,3568,22,
锌                  ,zn1807                        ,9,铜冠金源  ,10279,1360,金瑞期货  ,3286,395,金瑞期货  ,2762,1148,
锌                  ,zn1807                        ,10,兴证期货  ,9913,1353,五矿经易  ,3170,-104,国投安信  ,2726,64,
锌                  ,zn1807                        ,11,国泰君安  ,8188,-259,兴业期货  ,2658,-128,浙商期货  ,2483,-605,
锌                  ,zn1807                        ,12,华泰期货  ,6188,-2026,格林大华  ,2538,15,铜冠金源  ,2297,1154,
锌                  ,zn1807                        ,13,徽商期货  ,5905,-943,建信期货  ,2520,-750,鲁证期货  ,2084,-1283,
锌                  ,zn1807                        ,14,同信久恒  ,5800,377,中钢期货  ,2499,-7,大地期货  ,2071,-79,
锌                  ,zn1807                        ,15,华安期货  ,5763,-973,兴证期货  ,2327,209,弘业期货  ,2057,-45,
锌                  ,zn1807                        ,16,宏源期货  ,5436,2398,浙商期货  ,2292,249,中银国际  ,1896,108,
锌                  ,zn1807                        ,17,一德期货  ,5301,2627,南华期货  ,2229,-13,一德期货  ,1894,-1702,
锌                  ,zn1807                        ,18,广金期货  ,4387,-289,大地期货  ,2179,161,中粮期货  ,1822,31,
锌                  ,zn1807                        ,19,东航期货  ,4115,-92,弘业期货  ,2040,-145,南华期货  ,1783,-29,
锌                  ,zn1807                        ,20,申万期货  ,4092,-498,国贸期货  ,1899,-717,大有期货  ,1740,408,
锌                  ,zn1808                        ,1,海通期货  ,15964,781,中信期货  ,7331,-154,海通期货  ,6473,824,
锌                  ,zn1808                        ,2,鲁证期货  ,11836,2904,永安期货  ,5957,3130,中信期货  ,6316,1749,
锌                  ,zn1808                        ,3,中信期货  ,11549,2190,鲁证期货  ,2569,-1312,五矿经易  ,4766,181,
锌                  ,zn1808                        ,4,东证期货  ,5299,-657,海通期货  ,2465,-160,永安期货  ,4227,848,
锌                  ,zn1808                        ,5,铜冠金源  ,5145,1867,英大期货  ,2151,0,国海良时  ,1975,110,
锌                  ,zn1808                        ,6,永安期货  ,4528,2623,五矿经易  ,2123,-103,华泰期货  ,1825,-193,
锌                  ,zn1808                        ,7,申万期货  ,4152,-434,广发期货  ,1860,594,银河期货  ,1772,99,
锌                  ,zn1808                        ,8,中融汇信  ,3497,1038,中银国际  ,1526,19,首创期货  ,1751,-294,
锌                  ,zn1808                        ,9,宏源期货  ,3483,1617,建信期货  ,1504,-8,招商期货  ,1694,-1,
锌                  ,zn1808                        ,10,国投安信  ,3448,1958,瑞达期货  ,1493,923,金瑞期货  ,1543,-829,
锌                  ,zn1808                        ,11,华泰期货  ,2422,-874,上海中期  ,1471,-967,集成期货  ,1504,1458,
锌                  ,zn1808                        ,12,上海中期  ,2139,-622,迈科期货  ,1411,16,国投安信  ,1474,422,
锌                  ,zn1808                        ,13,同信久恒  ,2034,1149,东亚期货  ,1370,525,申万期货  ,1420,67,
锌                  ,zn1808                        ,14,一德期货  ,1767,830,一德期货  ,1332,-163,兴证期货  ,1420,-154,
锌                  ,zn1808                        ,15,中银国际  ,1734,222,华泰期货  ,1319,143,中钢期货  ,1393,0,
锌                  ,zn1808                        ,16,金瑞期货  ,1566,1515,中粮期货  ,1231,-583,方正中期  ,1335,238,
锌                  ,zn1808                        ,17,国泰君安  ,1493,852,方正中期  ,1190,15,国富期货  ,1196,-133,
锌                  ,zn1808                        ,18,中粮期货  ,1485,1308,金汇期货  ,1048,-5,中金期货  ,1161,0,
锌                  ,zn1808                        ,19,五矿经易  ,1478,-748,南华期货  ,1028,-14,迈科期货  ,1117,653,
锌                  ,zn1808                        ,20,集成期货  ,1469,908,长江期货  ,933,147,东证期货  ,1100,-15,
锌                  ,zn1809                        ,1,鲁证期货  ,4305,1918,中信期货  ,2992,543,华泰期货  ,3786,326,
锌                  ,zn1809                        ,2,海通期货  ,4122,1726,上海中期  ,1523,703,建信期货  ,2083,302,
锌                  ,zn1809                        ,3,中信期货  ,3366,1153,国都期货  ,1181,1,中钢期货  ,1730,-9,
锌                  ,zn1809                        ,4,东证期货  ,2197,712,英大期货  ,1004,217,金瑞期货  ,1256,556,
锌                  ,zn1809                        ,5,申万期货  ,1677,578,海通期货  ,1000,4,中国国际  ,1176,3,
锌                  ,zn1809                        ,6,同信久恒  ,1393,1096,方正中期  ,962,-7,中金期货  ,1161,232,
锌                  ,zn1809                        ,7,华泰期货  ,1260,264,一德期货  ,962,-3,中信期货  ,690,41,
锌                  ,zn1809                        ,8,中辉期货  ,1020,212,国贸期货  ,817,1,国信期货  ,679,152,
锌                  ,zn1809                        ,9,中融汇信  ,912,357,建信期货  ,780,0,银河期货  ,613,222,
锌                  ,zn1809                        ,10,中信建投  ,823,642,首创期货  ,575,-70,鲁证期货  ,602,-986,
锌                  ,zn1809                        ,11,中银国际  ,818,402,五矿经易  ,511,-130,格林大华  ,598,1,
锌                  ,zn1809                        ,12,上海中期  ,814,292,通惠期货  ,500,0,兴证期货  ,577,-23,
锌                  ,zn1809                        ,13,银河期货  ,812,441,同信久恒  ,439,32,永安期货  ,531,88,
锌                  ,zn1809                        ,14,国投安信  ,711,-120,中信建投  ,320,24,华安期货  ,422,12,
锌                  ,zn1809                        ,15,铜冠金源  ,664,657,迈科期货  ,300,199,南华期货  ,407,14,
锌                  ,zn1809                        ,16,金瑞期货  ,657,537,银河期货  ,284,132,首创期货  ,382,37,
锌                  ,zn1809                        ,17,五矿经易  ,587,-8,新湖期货  ,264,5,同信久恒  ,366,345,
锌                  ,zn1809                        ,18,华创期货  ,479,329,国信期货  ,257,1,华创期货  ,352,326,
锌                  ,zn1809                        ,19,国富期货  ,441,201,长江期货  ,237,1,五矿经易  ,317,79,
锌                  ,zn1809                        ,20,倍特期货  ,414,177,中银国际  ,231,1,兴业期货  ,296,13,
铅                  ,pball                         ,-1,期货公司  ,141596,20382,期货公司  ,61952,527,期货公司  ,61872,447,
铅                  ,pball                         ,0,非期货公司,80,80,非期货公司,0,0,非期货公司,80,80,
铅                  ,pb1806                        ,1,国投安信  ,1743,1436,中银国际  ,1281,-5,五矿经易  ,887,-145,
铅                  ,pb1806                        ,2,中信期货  ,1470,-687,海通期货  ,1277,-248,金瑞期货  ,656,-249,
铅                  ,pb1806                        ,3,永安期货  ,1112,958,金瑞期货  ,999,-340,中粮期货  ,653,-78,
铅                  ,pb1806                        ,4,南华期货  ,1023,709,永安期货  ,947,-693,国投安信  ,629,-512,
铅                  ,pb1806                        ,5,安粮期货  ,789,619,方正中期  ,838,-490,云晨期货  ,611,-261,
铅                  ,pb1806                        ,6,金瑞期货  ,593,240,华泰期货  ,746,-99,鲁证期货  ,548,-3,
铅                  ,pb1806                        ,7,方正中期  ,590,274,中粮期货  ,725,-211,方正中期  ,544,-70,
铅                  ,pb1806                        ,8,西部期货  ,496,-69,上海中期  ,544,172,中信期货  ,454,-200,
铅                  ,pb1806                        ,9,华鑫期货  ,454,-236,广州期货  ,412,-124,银河期货  ,423,-85,
铅                  ,pb1806                        ,10,首创期货  ,448,359,建信期货  ,376,-154,南华期货  ,410,-308,
铅                  ,pb1806                        ,11,上海中期  ,442,-1238,中财期货  ,315,-283,金汇期货  ,380,-8,
铅                  ,pb1806                        ,12,中银国际  ,428,250,东证期货  ,293,89,华鑫期货  ,316,6,
铅                  ,pb1806                        ,13,海通期货  ,403,-308,首创期货  ,275,-188,华泰期货  ,314,-13,
铅                  ,pb1806                        ,14,东证期货  ,402,147,光大期货  ,172,-181,国海良时  ,288,-66,
铅                  ,pb1806                        ,15,广州期货  ,387,256,国泰君安  ,151,-122,国贸期货  ,268,0,
铅                  ,pb1806                        ,16,中财期货  ,300,58,五矿经易  ,140,4,国泰君安  ,252,-8,
铅                  ,pb1806                        ,17,建信期货  ,295,-39,招商期货  ,125,-191,广州期货  ,235,-171,
铅                  ,pb1806                        ,18,中粮期货  ,291,131,弘业期货  ,63,0,国信期货  ,180,-12,
铅                  ,pb1806                        ,19,云晨期货  ,263,145,国投安信  ,62,55,国联期货  ,141,1,
铅                  ,pb1806                        ,20,五矿经易  ,259,-57,广发期货  ,57,31,迈科期货  ,130,0,
铅                  ,pb1807                        ,1,海通期货  ,17626,4307,中信期货  ,4856,-47,中信期货  ,4799,163,
铅                  ,pb1807                        ,2,中信期货  ,9310,632,海通期货  ,3796,-456,银河期货  ,3768,21,
铅                  ,pb1807                        ,3,方正中期  ,5027,1570,金瑞期货  ,1870,-282,建信期货  ,2436,-15,
铅                  ,pb1807                        ,4,国投安信  ,4496,980,国泰君安  ,1496,-122,五矿经易  ,2183,-857,
铅                  ,pb1807                        ,5,鲁证期货  ,3893,702,永安期货  ,1434,11,南华期货  ,1800,507,
铅                  ,pb1807                        ,6,铜冠金源  ,2742,592,兴证期货  ,1252,92,中粮期货  ,1663,-21,
铅                  ,pb1807                        ,7,兴证期货  ,2595,124,银河期货  ,1213,219,金瑞期货  ,1536,699,
铅                  ,pb1807                        ,8,华泰期货  ,2527,-40,方正中期  ,1084,449,方正中期  ,1526,126,
铅                  ,pb1807                        ,9,国富期货  ,2526,57,徽商期货  ,1031,912,永安期货  ,1241,208,
铅                  ,pb1807                        ,10,南华期货  ,2483,-654,华泰期货  ,1025,152,国投安信  ,991,113,
铅                  ,pb1807                        ,11,国泰君安  ,2309,-219,中财期货  ,945,33,兴证期货  ,880,-53,
铅                  ,pb1807                        ,12,东证期货  ,2243,346,南华期货  ,931,154,中辉期货  ,862,-11,
铅                  ,pb1807                        ,13,徽商期货  ,2193,830,鲁证期货  ,918,34,云晨期货  ,794,210,
铅                  ,pb1807                        ,14,西部期货  ,2101,1286,浙商期货  ,899,-47,中银国际  ,786,0,
铅                  ,pb1807                        ,15,五矿经易  ,2046,1305,弘业期货  ,863,-47,东证期货  ,746,228,
铅                  ,pb1807                        ,16,申万期货  ,2045,574,东航期货  ,846,-38,华泰期货  ,646,23,
铅                  ,pb1807                        ,17,宏源期货  ,1724,670,申万期货  ,843,61,中大期货  ,632,148,
铅                  ,pb1807                        ,18,永安期货  ,1717,-259,招商期货  ,805,56,国海良时  ,592,88,
铅                  ,pb1807                        ,19,招商期货  ,1529,715,上海中期  ,792,-69,铜冠金源  ,530,5,
铅                  ,pb1807                        ,20,中信建投  ,1471,-474,中粮期货  ,610,21,首创期货  ,525,-19,
镍                  ,niall                         ,-1,期货公司  ,969954,226850,期货公司  ,419903,39574,期货公司  ,419876,38224,
镍                  ,niall                         ,0,非期货公司,1602,1212,非期货公司,8,-1344,非期货公司,35,6,
镍                  ,ni1807                        ,1,海通期货  ,59684,15680,永安期货  ,28043,4761,中信期货  ,16650,2394,
镍                  ,ni1807                        ,2,中信期货  ,38399,9036,海通期货  ,13367,29,广发期货  ,10861,1996,
镍                  ,ni1807                        ,3,国投安信  ,37319,12039,中信期货  ,12723,1785,方正中期  ,9005,764,
镍                  ,ni1807                        ,4,东证期货  ,25535,5493,国泰君安  ,8541,353,五矿经易  ,7892,597,
镍                  ,ni1807                        ,5,永安期货  ,25491,7189,华泰期货  ,7961,2228,海通期货  ,7069,223,
镍                  ,ni1807                        ,6,鲁证期货  ,20668,8702,申万期货  ,6551,3353,中粮期货  ,6812,3552,
镍                  ,ni1807                        ,7,徽商期货  ,19404,5083,兴证期货  ,5898,1752,中国国际  ,6720,636,
镍                  ,ni1807                        ,8,兴证期货  ,16348,2695,首创期货  ,5386,389,光大期货  ,6155,178,
镍                  ,ni1807                        ,9,方正中期  ,14250,2789,国投安信  ,5165,2247,国泰君安  ,5859,794,
镍                  ,ni1807                        ,10,申万期货  ,14227,5637,银河期货  ,5085,293,银河期货  ,5294,461,
镍                  ,ni1807                        ,11,华泰期货  ,13125,2222,鲁证期货  ,4828,615,中信建投  ,4888,121,
镍                  ,ni1807                        ,12,华安期货  ,12641,1328,金瑞期货  ,4665,-325,建信期货  ,4862,29,
镍                  ,ni1807                        ,13,南华期货  ,12447,5737,五矿经易  ,4470,-125,兴业期货  ,4540,775,
镍                  ,ni1807                        ,14,创元期货  ,12280,2536,中粮期货  ,4409,-326,大有期货  ,4078,184,
镍                  ,ni1807                        ,15,中信建投  ,12211,2406,方正中期  ,3799,-242,永安期货  ,3631,676,
镍                  ,ni1807                        ,16,国泰君安  ,11729,4280,国海良时  ,3580,-117,浙商期货  ,3263,211,
镍                  ,ni1807                        ,17,中辉期货  ,10752,4586,光大期货  ,3158,1169,国信期货  ,3131,1654,
镍                  ,ni1807                        ,18,广发期货  ,10520,4114,中国国际  ,2899,376,兴证期货  ,3124,-298,
镍                  ,ni1807                        ,19,广金期货  ,10195,1907,中财期货  ,2826,795,南华期货  ,2873,313,
镍                  ,ni1807                        ,20,浙商期货  ,9928,2346,渤海期货  ,2714,-123,中银国际  ,2669,36,
镍                  ,ni1809                        ,1,海通期货  ,19635,5243,海通期货  ,11565,1076,中信期货  ,16127,1287,
镍                  ,ni1809                        ,2,中信期货  ,16221,4800,永安期货  ,10812,51,南华期货  ,8767,306,
镍                  ,ni1809                        ,3,东证期货  ,10069,-2771,中信期货  ,9560,-364,银河期货  ,7226,447,
镍                  ,ni1809                        ,4,鲁证期货  ,8187,3473,五矿经易  ,8179,432,国泰君安  ,6411,778,
镍                  ,ni1809                        ,5,华泰期货  ,6634,1316,广发期货  ,6720,857,江海汇鑫  ,6101,-464,
镍                  ,ni1809                        ,6,中粮期货  ,5769,4763,华泰期货  ,6136,-261,中粮期货  ,5999,-3040,
镍                  ,ni1809                        ,7,中融汇信  ,5694,2516,方正中期  ,4877,326,海通期货  ,5405,293,
镍                  ,ni1809                        ,8,永安期货  ,5445,2456,首创期货  ,4177,577,建信期货  ,5022,28,
镍                  ,ni1809                        ,9,方正中期  ,5103,1869,上海大陆  ,4039,209,五矿经易  ,5017,177,
镍                  ,ni1809                        ,10,国投安信  ,5036,359,中银国际  ,3930,-2,永安期货  ,4973,-494,
镍                  ,ni1809                        ,11,华西期货  ,4766,1377,中粮期货  ,3833,305,信达期货  ,4634,114,
镍                  ,ni1809                        ,12,国泰君安  ,4519,-1039,国泰君安  ,3403,167,中国国际  ,4463,338,
镍                  ,ni1809                        ,13,南华期货  ,3757,1761,鲁证期货  ,3366,104,兴业期货  ,3860,34,
镍                  ,ni1809                        ,14,申万期货  ,3740,1587,国投安信  ,3323,153,华泰期货  ,3264,469,
镍                  ,ni1809                        ,15,徽商期货  ,3717,1282,兴证期货  ,2983,39,国富期货  ,3127,276,
镍                  ,ni1809                        ,16,中信建投  ,3262,2145,东航期货  ,2848,336,国投安信  ,3126,729,
镍                  ,ni1809                        ,17,五矿经易  ,3205,1918,中金期货  ,2714,75,长江期货  ,2922,921,
镍                  ,ni1809                        ,18,首创期货  ,3010,1621,福能期货  ,2545,-197,国海良时  ,2431,240,
镍                  ,ni1809                        ,19,中辉期货  ,3010,954,东亚期货  ,2364,253,金瑞期货  ,2302,-988,
镍                  ,ni1809                        ,20,金瑞期货  ,2865,2097,国海良时  ,2321,110,新湖期货  ,2276,57,
镍                  ,ni1811                        ,1,海通期货  ,7631,1717,国泰君安  ,7255,-303,国泰君安  ,10223,-271,
镍                  ,ni1811                        ,2,中信期货  ,4868,686,永安期货  ,2909,58,中信期货  ,4415,248,
镍                  ,ni1811                        ,3,申万期货  ,4089,466,东证期货  ,2329,49,中粮期货  ,2200,87,
镍                  ,ni1811                        ,4,中融汇信  ,3769,-31,海通期货  ,2293,-12,东证期货  ,2007,-28,
镍                  ,ni1811                        ,5,国泰君安  ,3502,-569,南华期货  ,2164,-7,永安期货  ,1905,10,
镍                  ,ni1811                        ,6,西部期货  ,3479,579,中信期货  ,2163,24,浙商期货  ,1835,-84,
镍                  ,ni1811                        ,7,鲁证期货  ,3382,631,中粮期货  ,1992,0,申万期货  ,1667,21,
镍                  ,ni1811                        ,8,东证期货  ,3113,-2135,申万期货  ,1942,68,海通期货  ,1648,19,
镍                  ,ni1811                        ,9,新湖期货  ,2748,1070,浙商期货  ,1846,-89,南华期货  ,1583,-40,
镍                  ,ni1811                        ,10,五矿经易  ,2614,748,新湖期货  ,1643,161,鲁证期货  ,1287,-1,
镍                  ,ni1811                        ,11,徽商期货  ,1736,-981,国投安信  ,1347,2,国投安信  ,1267,-6,
镍                  ,ni1811                        ,12,方正中期  ,1589,640,大地期货  ,1227,62,新湖期货  ,1020,165,
镍                  ,ni1811                        ,13,华安期货  ,1424,160,方正中期  ,1211,180,五矿经易  ,906,-148,
镍                  ,ni1811                        ,14,东航期货  ,1417,-64,五矿经易  ,1152,12,金瑞期货  ,901,5,
镍                  ,ni1811                        ,15,浙商期货  ,1231,422,通惠期货  ,1080,0,中国国际  ,874,-4,
镍                  ,ni1811                        ,16,永安期货  ,1080,-415,兴证期货  ,973,-15,大越期货  ,864,424,
镍                  ,ni1811                        ,17,南华期货  ,1079,459,广发期货  ,741,37,广发期货  ,845,267,
镍                  ,ni1811                        ,18,兴证期货  ,1033,306,弘业期货  ,715,15,大地期货  ,709,24,
镍                  ,ni1811                        ,19,国投安信  ,984,294,华泰期货  ,637,30,兴证期货  ,678,18,
镍                  ,ni1811                        ,20,中辉期货  ,877,416,金瑞期货  ,621,13,信达期货  ,477,7,
镍                  ,ni1901                        ,1,海通期货  ,1006,510,中粮期货  ,2880,-14,海通期货  ,3909,-2,
镍                  ,ni1901                        ,2,方正中期  ,624,483,新湖期货  ,2199,19,中银国际  ,3642,0,
镍                  ,ni1901                        ,3,中信期货  ,608,9,大有期货  ,1309,0,同信久恒  ,1964,0,
镍                  ,ni1901                        ,4,申万期货  ,578,203,永安期货  ,1077,486,方正中期  ,1064,318,
镍                  ,ni1901                        ,5,永安期货  ,554,456,国投安信  ,1000,56,东兴期货  ,666,3,
镍                  ,ni1901                        ,6,江海汇鑫  ,484,483,五矿经易  ,911,-223,国泰君安  ,470,4,
镍                  ,ni1901                        ,7,新湖期货  ,291,193,通惠期货  ,408,0,南华期货  ,391,7,
镍                  ,ni1901                        ,8,五矿经易  ,281,194,海通期货  ,302,92,银河期货  ,381,140,
镍                  ,ni1901                        ,9,银河期货  ,273,254,国海良时  ,299,14,永安期货  ,324,-8,
镍                  ,ni1901                        ,10,铜冠金源  ,250,85,国泰君安  ,279,45,长江期货  ,314,23,
镍                  ,ni1901                        ,11,西部期货  ,235,123,中国国际  ,272,105,中信期货  ,254,4,
镍                  ,ni1901                        ,12,兴证期货  ,223,100,方正中期  ,219,-14,兴业期货  ,228,0,
镍                  ,ni1901                        ,13,宏源期货  ,192,145,华泰期货  ,213,16,五矿经易  ,189,0,
镍                  ,ni1901                        ,14,一德期货  ,190,162,西部期货  ,210,8,金瑞期货  ,144,0,
镍                  ,ni1901                        ,15,中辉期货  ,173,67,瑞龙期货  ,168,0,光大期货  ,133,21,
镍                  ,ni1901                        ,16,国泰君安  ,137,51,一德期货  ,168,41,宏源期货  ,123,110,
镍                  ,ni1901                        ,17,中国国际  ,132,25,华信期货  ,162,0,西南期货  ,114,0,
镍                  ,ni1901                        ,18,平安期货  ,126,123,大越期货  ,157,-17,招商期货  ,105,34,
镍                  ,ni1901                        ,19,华泰期货  ,123,78,宏源期货  ,150,4,东航期货  ,98,60,
镍                  ,ni1901                        ,20,华安期货  ,103,97,弘业期货  ,147,-1,国金期货  ,65,5,
锡                  ,snall                         ,-1,期货公司  ,88864,49316,期货公司  ,23416,5181,期货公司  ,23416,5181,
锡                  ,snall                         ,0,非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
锡                  ,sn1809                        ,1,海通期货  ,10925,5478,金瑞期货  ,1897,-297,永安期货  ,2862,-125,
锡                  ,sn1809                        ,2,中信期货  ,9158,4280,中信期货  ,1762,-170,中信期货  ,2139,92,
锡                  ,sn1809                        ,3,徽商期货  ,3051,1922,东证期货  ,1723,577,银河期货  ,1097,456,
锡                  ,sn1809                        ,4,西部期货  ,2957,1990,浙商期货  ,1445,840,金瑞期货  ,1020,468,
锡                  ,sn1809                        ,5,东证期货  ,2712,1281,云晨期货  ,986,-18,南华期货  ,852,198,
锡                  ,sn1809                        ,6,华安期货  ,2613,1423,国泰君安  ,960,64,五矿经易  ,803,223,
锡                  ,sn1809                        ,7,浙商期货  ,2421,1672,中信建投  ,813,762,国泰君安  ,785,238,
锡                  ,sn1809                        ,8,银河期货  ,2170,1711,永安期货  ,782,463,中国国际  ,774,226,
锡                  ,sn1809                        ,9,中辉期货  ,2043,939,混沌天成  ,750,742,一德期货  ,767,40,
锡                  ,sn1809                        ,10,中信建投  ,1982,1570,上海中期  ,692,96,国贸期货  ,664,0,
锡                  ,sn1809                        ,11,鲁证期货  ,1885,544,宏源期货  ,676,521,格林大华  ,605,330,
锡                  ,sn1809                        ,12,华泰期货  ,1843,1333,首创期货  ,601,49,海通期货  ,600,204,
锡                  ,sn1809                        ,13,国投安信  ,1841,677,徽商期货  ,590,43,东证期货  ,518,197,
锡                  ,sn1809                        ,14,永安期货  ,1752,1220,安粮期货  ,465,35,宏源期货  ,386,7,
锡                  ,sn1809                        ,15,东航期货  ,1654,1035,方正中期  ,438,285,广发期货  ,386,100,
锡                  ,sn1809                        ,16,国泰君安  ,1626,980,银河期货  ,426,122,光大期货  ,333,23,
锡                  ,sn1809                        ,17,申万期货  ,1522,757,中国国际  ,379,-37,东海期货  ,331,117,
锡                  ,sn1809                        ,18,宏源期货  ,1494,1006,广发期货  ,370,-5,云晨期货  ,327,129,
锡                  ,sn1809                        ,19,方正中期  ,1351,698,兴证期货  ,361,21,兴业期货  ,322,-12,
锡                  ,sn1809                        ,20,中国国际  ,1263,513,金信期货  ,326,325,中财期货  ,315,206,
黄金                ,auall                         ,-1,期货公司  ,84536,-37830,期货公司  ,124280,-446,期货公司  ,43146,-64,
黄金                ,auall                         ,0,非期货公司,6050,-7378,非期货公司,49127,1271,非期货公司,130261,889,
黄金                ,au1806                        ,1,上海中期  ,866,-483,鲁证期货  ,456,-22,国贸期货  ,1020,-1,
黄金                ,au1806                        ,2,海通期货  ,806,160,招金期货  ,392,285,招金期货  ,813,93,
黄金                ,au1806                        ,3,广发期货  ,704,394,申万期货  ,341,6,国泰君安  ,316,-485,
黄金                ,au1806                        ,4,国泰君安  ,571,-381,华泰期货  ,248,-94,海通期货  ,267,-17,
黄金                ,au1806                        ,5,招金期货  ,480,254,中信建投  ,242,-4,五矿经易  ,241,-41,
黄金                ,au1806                        ,6,瑞龙期货  ,384,-8,招商期货  ,238,-13,国海良时  ,239,0,
黄金                ,au1806                        ,7,东海期货  ,338,194,广发期货  ,210,-256,新湖期货  ,211,-6,
黄金                ,au1806                        ,8,中信期货  ,246,-279,银河期货  ,205,-44,国联期货  ,190,1,
黄金                ,au1806                        ,9,中辉期货  ,198,-210,国泰君安  ,188,-86,上海中期  ,170,15,
黄金                ,au1806                        ,10,铜冠金源  ,191,139,光大期货  ,188,13,中信期货  ,157,-3,
黄金                ,au1806                        ,11,东航期货  ,163,14,瑞龙期货  ,173,18,南华期货  ,135,0,
黄金                ,au1806                        ,12,华泰期货  ,152,43,中信期货  ,156,-5,兴证期货  ,108,0,
黄金                ,au1806                        ,13,国投安信  ,102,-7,永安期货  ,133,-5,信达期货  ,94,0,
黄金                ,au1806                        ,14,国金期货  ,95,79,海通期货  ,132,-23,平安期货  ,90,-3,
黄金                ,au1806                        ,15,浙商期货  ,73,32,东证期货  ,129,-18,银河期货  ,76,1,
黄金                ,au1806                        ,16,长江期货  ,69,15,瑞达期货  ,128,-9,铜冠金源  ,61,-1,
黄金                ,au1806                        ,17,光大期货  ,67,45,上海中期  ,114,-3,鲁证期货  ,42,-4,
黄金                ,au1806                        ,18,国富期货  ,65,-65,五矿经易  ,109,-18,光大期货  ,30,-8,
黄金                ,au1806                        ,19,鲁证期货  ,64,-308,中国国际  ,108,-9,国金期货  ,30,-95,
黄金                ,au1806                        ,20,新湖期货  ,62,27,南华期货  ,104,-3,永安期货  ,29,1,
黄金                ,au1812                        ,1,海通期货  ,9636,-5216,中信期货  ,15354,-1311,招金期货  ,4023,449,
黄金                ,au1812                        ,2,中银国际  ,4382,-1881,国泰君安  ,11140,243,中信期货  ,3041,-39,
黄金                ,au1812                        ,3,中信期货  ,4288,121,银河期货  ,6878,133,国泰君安  ,2580,-8,
黄金                ,au1812                        ,4,同信久恒  ,4022,2051,海通期货  ,4936,259,华泰期货  ,2500,-72,
黄金                ,au1812                        ,5,东证期货  ,3886,-1091,招金期货  ,3902,180,海通期货  ,1670,-29,
黄金                ,au1812                        ,6,国泰君安  ,3437,-2827,宏源期货  ,3723,47,广发期货  ,1585,81,
黄金                ,au1812                        ,7,上海中期  ,3198,-5802,东海期货  ,3663,-17,中金期货  ,1569,-12,
黄金                ,au1812                        ,8,兴证期货  ,2950,213,建信期货  ,3487,405,东证期货  ,1508,-299,
黄金                ,au1812                        ,9,南华期货  ,2356,535,中衍期货  ,3160,-2,平安期货  ,1275,-78,
黄金                ,au1812                        ,10,广发期货  ,2352,-1638,东证期货  ,2938,545,首创期货  ,1146,6,
黄金                ,au1812                        ,11,西部期货  ,2060,-86,五矿经易  ,2932,692,新湖期货  ,1092,356,
黄金                ,au1812                        ,12,徽商期货  ,1746,-154,永安期货  ,2917,-95,银河期货  ,886,-158,
黄金                ,au1812                        ,13,华泰期货  ,1633,-1607,金瑞期货  ,2549,273,永安期货  ,839,-142,
黄金                ,au1812                        ,14,国投安信  ,1619,-1636,华泰期货  ,2466,-79,鲁证期货  ,781,-10,
黄金                ,au1812                        ,15,金瑞期货  ,1515,-389,平安期货  ,2454,204,兴证期货  ,694,-87,
黄金                ,au1812                        ,16,长江期货  ,1268,-171,山金期货  ,2379,36,中原期货  ,684,48,
黄金                ,au1812                        ,17,银河期货  ,1209,97,兴证期货  ,1905,-253,方正中期  ,677,-80,
黄金                ,au1812                        ,18,招金期货  ,1103,137,西部期货  ,1841,398,南华期货  ,675,73,
黄金                ,au1812                        ,19,永安期货  ,983,-252,通惠期货  ,1835,279,铜冠金源  ,668,42,
黄金                ,au1812                        ,20,建信期货  ,950,78,南华期货  ,1811,-159,东航期货  ,648,-13,
白银                ,agall                         ,-1,期货公司  ,183073,-133352,期货公司  ,401906,1967,期货公司  ,267879,1958,
白银                ,agall                         ,0,非期货公司,2483,-3552,非期货公司,4183,114,非期货公司,138210,123,
白银                ,ag1806                        ,1,中信期货  ,2869,1584,五矿经易  ,4629,-87,国泰君安  ,9940,-346,
白银                ,ag1806                        ,2,永安期货  ,1987,97,海通期货  ,3635,328,中信期货  ,4511,-7,
白银                ,ag1806                        ,3,大越期货  ,1131,1002,中银国际  ,3430,280,永安期货  ,4009,-393,
白银                ,ag1806                        ,4,建信期货  ,1063,570,方正中期  ,2888,-131,瑞龙期货  ,2669,-51,
白银                ,ag1806                        ,5,海通期货  ,1001,-151,云晨期货  ,2843,-25,江海汇鑫  ,2573,0,
白银                ,ag1806                        ,6,东证期货  ,964,-221,南华期货  ,2656,-411,五矿经易  ,2463,-200,
